Vendedor_Responsavel,total_vendas,total_comissao,carros_vendidos
ANTONIO TERRY,36869.0,4573.84,1
ANTONIO THOMAS,19863.0,2442.42,1
ANTONIO THOMPSON,36958.0,3197.0,1
ANTONIO TORRES,20916.0,1264.92,1
ANTONIO TRUJILLO,20023.0,1334.1,1
ANTONIO TURNER,43197.0,4501.62,1
ANTONIO VASQUEZ,19671.0,2450.74,1
ANTONIO VELASQUEZ,14016.0,866.6,1
ANTONIO WALLER,10720.0,1400.55,1
ANTONIO WALSH,22877.0,1340.86,1
ANTONIO WANG,47336.0,5228.9,1
ANTONIO WATSON,25306.0,3105.3,1
ANTONIO WEST,38561.0,2912.37,1
ANTONIO WHITAKER,41633.0,3007.43,1
ANTONIO WHITE,12751.0,1321.4,1
ANTONIO WILKINSON PHD,27036.0,2050.3,1
ANTONIO WILLIAMS,99231.0,9458.75,4
ANTONIO WILSON,101910.0,11224.76,3
ANTONIO WOLF,40463.0,4609.71,1
ANTONIO WOOD,62621.0,7706.93,2
ANTONIO WRIGHT,38945.0,2704.82,1
ANTONIO YOUNG DVM,13212.0,1349.85,1
APRIL ADAMS,93499.0,8404.01,3
APRIL AGUILAR,26502.0,2948.66,1
APRIL ALEXANDER,47869.0,5275.09,1
APRIL ALLEN,53704.0,7024.610000000001,2
APRIL ALVARADO,38655.0,3887.18,1
APRIL ANDERSON,49352.0,5755.96,1
APRIL ANDRADE,52685.0,3271.09,2
APRIL ANTHONY,25918.0,3471.28,1
APRIL ARNOLD,43427.0,2553.62,1
APRIL ASHLEY,23173.0,2356.51,1
APRIL AYALA,22969.0,3375.67,1
APRIL BAKER,85219.0,8612.61,2
APRIL BAUER,13381.0,1706.39,1
APRIL BECK,30965.0,3246.24,1
APRIL BERG,24864.0,2780.66,1
APRIL BERNARD,31470.0,3972.32,1
APRIL BLACKBURN,15665.0,2075.61,1
APRIL BLAIR,20917.0,2741.72,1
APRIL BLAKE,36566.0,5412.74,1
APRIL BOOKER,15853.0,2245.19,1
APRIL BRANCH,47422.0,3121.02,1
APRIL BROOKS,24278.0,1546.62,1
APRIL BROWN,29298.0,2238.53,1
APRIL BRYANT,35109.0,3696.92,1
APRIL BURKE,43902.0,6579.65,1
APRIL BURNS,34326.0,1743.22,1
APRIL BURTON,42328.0,4931.969999999999,2
APRIL CANTU,14860.0,836.02,1
APRIL CAREY,34175.0,5087.51,1
APRIL CARPENTER,13890.0,829.71,1
APRIL CARR,75563.0,6477.04,2
APRIL CARSON,48707.0,6671.46,1
APRIL CARTER,58873.0,7148.5,2
APRIL CASTILLO,38504.0,3157.39,1
APRIL CHAPMAN,30025.0,2663.46,1
APRIL CHAVEZ,28193.0,3012.66,1
APRIL CHRISTENSEN,31795.0,2619.69,1
APRIL CLARK,45401.0,3068.4700000000003,2
APRIL COHEN,41646.0,3562.07,1
APRIL COLEMAN,12989.0,1693.84,1
APRIL COLLINS,67548.0,9078.15,3
APRIL COMBS,42405.0,4870.63,1
APRIL CONLEY,47549.0,3012.66,1
APRIL CONNER,66862.0,4934.07,2
APRIL COOPER,28009.0,2327.2200000000003,2
APRIL COSTA,34913.0,2060.99,1
APRIL CRAWFORD,11988.0,1382.96,1
APRIL CUNNINGHAM,21303.0,2579.12,1
APRIL CURTIS,44938.0,3079.88,1
APRIL DANIEL,17320.0,2464.62,1
APRIL DAWSON,83240.0,7983.1,2
APRIL DEAN,34050.0,3576.88,1
APRIL DOYLE,20491.0,2372.13,1
APRIL DUARTE,18196.0,1803.8,1
APRIL DUNLAP,33428.0,2863.23,1
APRIL DYER,41313.0,5881.42,1
APRIL EATON,11674.0,1736.42,1
APRIL EDWARDS,33053.0,3064.34,1
APRIL ELLIS,20069.0,1119.02,1
APRIL ENGLISH,45682.0,2428.58,1
APRIL ERICKSON,14727.0,1672.11,1
APRIL ESTES,16356.0,2309.6,1
APRIL ESTRADA,31555.0,3770.83,1
APRIL EVANS,62111.0,4193.28,2
APRIL FARLEY,35274.0,4978.63,1
APRIL FERGUSON,21250.0,2111.24,1
APRIL FERNANDEZ,25952.0,1813.42,1
APRIL FIELDS,80942.0,6997.3,2
APRIL FISHER,43452.0,5944.14,1
APRIL FLORES,39132.0,5383.14,1
APRIL FLYNN,20777.0,2256.34,1
APRIL FOSTER,101238.0,11315.14,4
APRIL FOWLER,30164.0,2797.18,1
APRIL FRANCIS,57228.0,4868.14,2
APRIL FRAZIER,36283.0,3616.92,1
APRIL FROST,48569.0,4720.06,1
APRIL GARCIA,39796.0,3883.5,2
APRIL GARDNER,47509.0,6982.34,1
APRIL GARRETT,47511.0,4349.3,1
APRIL GARZA,46093.0,6883.34,1
APRIL GEORGE,67502.0,6565.31,2
APRIL GILBERT,23741.0,1572.89,1
APRIL GONZALEZ,73294.0,5861.06,2
APRIL GRAHAM,21840.0,2568.16,1
APRIL GRANT,37361.0,3318.52,1
APRIL GUERRA,43227.0,6316.54,1
APRIL GUTIERREZ,13503.0,1084.31,1
APRIL HANSEN,47370.0,5222.18,1
APRIL HARDIN,24019.0,1839.8,1
APRIL HARDY,28023.0,1922.45,1
APRIL HARRIS,85244.0,7737.370000000001,2
APRIL HARTMAN,18410.0,2158.87,1
APRIL HESS,31789.0,3027.57,1
APRIL HICKS,29240.0,4260.83,1
APRIL HILL,32118.0,3875.83,2
APRIL HOFFMAN,42913.0,3768.14,1
APRIL HOOPER,41624.0,3092.28,1
APRIL HOOVER,22498.0,2242.8,1
APRIL HOWARD,14500.0,1340.08,1
APRIL HOWE,39349.0,5622.08,1
APRIL HUBER,16991.0,1200.96,1
APRIL HUFFMAN,11721.0,855.56,1
APRIL HUGHES,14588.0,1618.77,1
APRIL HUNTER,95979.0,5674.9400000000005,3
APRIL HUNTER MD,30164.0,3954.52,1
APRIL INGRAM,30234.0,1966.36,1
APRIL JACKSON,48644.0,6694.34,1
APRIL JACOBS,54385.0,5866.9400000000005,2
APRIL JARVIS,41309.0,2102.08,1
APRIL JENKINS,94269.0,9747.9,3
APRIL JENSEN,10666.0,1192.53,1
APRIL JOHNSON,74391.0,9190.84,3
APRIL JOHNSTON,31971.0,2471.4,1
APRIL JONES,39725.0,4678.85,1
APRIL JORDAN,13775.0,783.35,1
APRIL JUAREZ,30289.0,2697.06,1
APRIL KELLER,35032.0,2793.67,1
APRIL KELLEY,13298.0,948.37,1
APRIL KELLY,107107.0,9781.19,3
APRIL KENNEDY,21226.0,1430.11,1
APRIL KIM,62324.0,7734.15,2
APRIL KLINE,19193.0,1547.52,1
APRIL KNIGHT,31647.0,1774.15,1
APRIL KOCH,23071.0,2259.27,2
APRIL LANE,32763.0,3560.67,1
APRIL LEE,25302.0,1608.1,1
APRIL LEWIS,65458.0,7943.9,2
APRIL LI MD,37454.0,3626.74,1
APRIL LONG,64829.0,5506.74,2
APRIL LOWERY,10287.0,1405.64,1
APRIL LUNA,14766.0,1200.39,1
APRIL LUTZ,40442.0,3470.09,1
APRIL LYNCH,48617.0,6694.03,1
APRIL LYONS,42134.0,3020.39,1
APRIL MAHONEY,39152.0,4878.59,1
APRIL MALDONADO,15875.0,1575.51,1
APRIL MARTIN,22551.0,2095.85,1
APRIL MARTINEZ,60249.0,7568.309999999999,2
APRIL MATHIS,31501.0,3887.82,1
APRIL MCCALL,29473.0,4338.81,1
APRIL MCCULLOUGH,10970.0,1160.53,1
APRIL MCDANIEL,22816.0,2637.86,1
APRIL MCINTOSH,43526.0,2625.24,1
APRIL MCKINNEY,42477.0,3239.84,1
APRIL MELTON,16453.0,1810.94,1
APRIL MENDEZ,30552.0,2501.94,1
APRIL MENDOZA,99210.0,10543.37,3
APRIL MERCADO,13800.0,1578.46,1
APRIL MIDDLETON,29201.0,3332.01,1
APRIL MILLER,28244.0,3963.73,1
APRIL MILLS,36619.0,4579.53,1
APRIL MITCHELL,69962.0,8072.19,2
APRIL MONTGOMERY,52788.0,5350.139999999999,2
APRIL MOON,15773.0,1551.09,1
APRIL MOORE,13778.0,1720.11,1
APRIL MOORE MD,15401.0,1160.03,1
APRIL MORENO,10846.0,1573.94,1
APRIL MURPHY,44927.0,2981.91,1
APRIL MURRAY,32430.0,3680.09,1
APRIL MYERS,45518.0,5598.92,2
APRIL NORMAN,44279.0,3804.1,1
APRIL NORTON,48677.0,5428.59,1
APRIL OBRIEN,27313.0,2883.52,1
APRIL ODONNELL,41387.0,4887.63,1
APRIL OLIVER,48352.0,2654.5,1
APRIL OLSON,69168.0,5941.09,2
APRIL ORTIZ,53297.0,4837.07,2
APRIL OSBORNE,20836.0,2843.76,1
APRIL PACHECO,28608.0,3960.82,1
APRIL PARKER,12848.0,1719.83,1
APRIL PATEL,64894.0,5826.18,2
APRIL PATEL MD,36874.0,5520.49,1
APRIL PATRICK,31636.0,2836.12,1
APRIL PATTON,13075.0,1665.7,1
APRIL PAUL,46863.0,3439.26,2
APRIL PEREZ,148377.0,12588.47,5
APRIL PERRY,57775.0,4027.52,2
APRIL PETERSON,93039.0,8543.460000000001,4
APRIL PHILLIPS,21995.0,2257.7,1
APRIL POWELL,19748.0,1204.46,1
APRIL POWERS,26785.0,2436.02,1
APRIL PRICE,32779.0,2606.67,1
APRIL RAMIREZ,11191.0,1453.17,1
APRIL RAMOS,80149.0,10277.68,2
APRIL RAMSEY,18239.0,2220.6,1
APRIL RANGEL,33039.0,2995.38,1
APRIL REED,43904.0,5297.27,1
APRIL REID,34894.0,3332.55,1
APRIL REYES,21777.0,1495.02,1
APRIL RICHARDS,49878.0,7467.85,1
APRIL RICHARDSON,36018.0,3728.05,2
APRIL RIGGS,33949.0,4161.72,1
APRIL RIVERA,32652.0,2313.8,1
APRIL ROBERTS,49225.0,4489.35,3
APRIL ROBERTSON,30321.0,1836.45,1
APRIL ROBINSON,69914.0,3941.48,2
APRIL ROCHA,21956.0,1598.93,1
APRIL RODRIGUEZ,69911.0,5139.39,2
APRIL ROSALES,41447.0,4854.09,1
APRIL RUBIO,12535.0,772.82,1
APRIL RUSSELL,12349.0,1278.24,1
APRIL SALAZAR,48477.0,4758.95,1
APRIL SANCHEZ,64135.0,5276.7,2
APRIL SCHMIDT,13460.0,686.58,1
APRIL SCHULTZ DDS,27407.0,2992.91,1
APRIL SEXTON,17246.0,1834.93,1
APRIL SHEPHERD,31467.0,3082.67,1
APRIL SHERMAN,47602.0,5197.58,2
APRIL SILVA,26374.0,2510.84,1
APRIL SIMMONS,42676.0,2698.29,1
APRIL SINGH,12658.0,1561.36,1
APRIL SMITH,313490.0,33049.93,12
APRIL SOSA,23026.0,3366.33,1
APRIL SPENCER,105076.0,12270.23,3
APRIL STEVENS,31035.0,4136.2300000000005,2
APRIL STEWART,49888.0,3194.32,2
APRIL SULLIVAN,41137.0,3615.37,1
APRIL SUMMERS,44427.0,6364.1,1
APRIL SWANSON,68751.0,6186.73,2
APRIL SWEENEY,21671.0,1985.59,1
APRIL SWEENEY DDS,32861.0,4058.59,1
APRIL TAYLOR,73948.0,3955.65,2
APRIL TORRES,152359.0,15529.69,5
APRIL TUCKER,14937.0,1864.24,1
APRIL VALDEZ,12945.0,1123.22,1
APRIL VARGAS,15891.0,2114.72,1
APRIL VILLEGAS,27902.0,2656.04,1
APRIL WAGNER,14329.0,823.36,1
APRIL WALKER,47507.0,4894.03,1
APRIL WANG,47450.0,3304.85,1
APRIL WARD,56841.0,4364.84,2
APRIL WARREN,54042.0,4097.23,2
APRIL WASHINGTON,26112.0,2647.42,1
APRIL WATERS,33030.0,2464.42,1
APRIL WATKINS,39635.0,2640.1,1
APRIL WATSON,44526.0,3229.5,1
APRIL WEAVER,24195.0,2968.48,1
APRIL WEBER,20015.0,2967.73,1
APRIL WELCH,33613.0,4879.62,1
APRIL WELLS,46964.0,6754.62,1
APRIL WEST,45295.0,4636.56,1
APRIL WHITAKER,12374.0,1724.36,1
APRIL WHITE,96786.0,12990.91,3
APRIL WILKERSON MD,49187.0,5262.1,1
APRIL WILLIAMS,116017.0,11814.96,5
APRIL WILLIS,26345.0,3553.96,1
APRIL WILSON,141649.0,14793.93,5
APRIL WINTERS,48285.0,4788.72,1
APRIL WOODARD,37595.0,3837.16,1
APRIL WOODS,16034.0,1437.32,1
APRIL WRIGHT,22325.0,2947.44,1
APRIL YOUNG,67164.0,8116.6,2
APRIL ZAMORA,11111.0,1662.28,1
ARIANA ANDERSON,34872.0,3135.32,1
ARIANA BARR,20627.0,2361.09,1
ARIANA BROWN,11630.0,1637.06,1
ARIANA CARLSON,13062.0,1542.1,1
ARIANA CARTER,14307.0,1536.41,1
ARIANA COLEMAN,42966.0,4991.22,1
ARIANA COLLINS,15517.0,1173.6,1
ARIANA CONNER,37822.0,5111.09,1
ARIANA DAVIS,23289.0,2756.14,1
ARIANA DUNN,23923.0,2063.27,1
ARIANA DURAN,19093.0,1457.25,1
ARIANA FOLEY,16390.0,1059.6,1
ARIANA GARCIA,13938.0,1022.46,1
ARIANA HALEY,22905.0,1321.21,1
ARIANA HAMMOND,43652.0,2680.35,1
ARIANA HARMON,32327.0,3656.82,1
ARIANA HARVEY,22219.0,2727.1,1
ARIANA HENDERSON,32006.0,4519.12,1
ARIANA HILL,45572.0,6195.38,1
ARIANA HINTON,49301.0,4446.79,1
ARIANA HORNE,33449.0,2936.42,1
ARIANA HUGHES,46745.0,7009.08,1
ARIANA HUNTER,34724.0,4407.93,1
ARIANA JOHNSON,123183.0,13922.37,3
ARIANA JONES,94983.0,7897.58,2
ARIANA KELLER,44134.0,4070.98,1
ARIANA KENNEDY,23119.0,2272.25,1
ARIANA LEONARD,14379.0,866.78,1
ARIANA LEWIS,18559.0,2748.01,1
ARIANA LUCAS,16970.0,1218.11,1
ARIANA MOORE,38745.0,3836.67,1
ARIANA ODOM,33865.0,4715.29,1
ARIANA PERRY,15087.0,1304.54,1
ARIANA RODRIGUEZ,29926.0,2147.72,1
ARIANA ROGERS,19904.0,1267.24,1
ARIANA RUSSELL,28893.0,3154.73,1
ARIANA SALAZAR,27663.0,2262.27,1
ARIANA SHEPPARD,17252.0,1945.62,1
ARIANA SIMMONS,12999.0,990.44,1
ARIANA SMITH,38838.0,2295.52,1
ARIANA TATE,35600.0,2751.85,1
ARIANA WALKER,29070.0,2727.98,1
ARIANA WILLIAMS,44059.0,5341.69,1
ARIEL ALVAREZ,36860.0,4449.74,1
ARIEL ATKINS,17338.0,2214.75,1
ARIEL BAUER,40169.0,5259.81,1
ARIEL BAXTER,34328.0,5002.89,1
ARIEL CASEY,35901.0,2979.26,1
ARIEL COFFEY,28014.0,2132.08,1
ARIEL FRAZIER,29908.0,3273.4,1
ARIEL GONZALEZ,29170.0,2967.42,1
ARIEL GORDON,11713.0,1328.07,1
ARIEL GRAY,46116.0,3238.73,1
ARIEL HANSEN,43271.0,5569.46,1
ARIEL HARRISON,11423.0,713.83,1
ARIEL HERRING,13942.0,1982.99,1
ARIEL HOLT,43078.0,2467.3,1
ARIEL HUDSON,19498.0,1834.9,1
ARIEL JENKINS,47059.0,4759.4,1
ARIEL JONES,12207.0,691.54,1
ARIEL KING,18085.0,2391.46,1
ARIEL LUCAS,17227.0,1187.32,1
ARIEL MASON,23304.0,2243.41,1
ARIEL MCCORMICK,18975.0,2318.16,1
ARIEL MCDONALD,16902.0,1554.48,1
ARIEL MILLER,27512.0,2836.86,1
ARIEL MOORE,27716.0,2454.18,1
ARIEL NGUYEN,21296.0,1902.08,1
ARIEL OBRIEN,64863.0,6308.429999999999,2
ARIEL POTTS,43088.0,6221.55,1
ARIEL RHODES,38439.0,3675.65,1
ARIEL ROBERSON,45737.0,5990.17,1
ARIEL SANFORD,13123.0,1587.8,1
ARIEL SMITH,47751.0,6006.07,1
ARIEL SOLOMON,36999.0,3275.51,1
ARIEL TANNER,24313.0,2984.57,1
ARIEL TURNER,34539.0,2403.9,1
ARIEL WALSH,33681.0,2589.87,1
ARIEL WHITE,32825.0,3976.68,1
ARIEL WRIGHT,42999.0,2193.72,1
ARTHUR ALEXANDER,44770.0,4567.99,1
ARTHUR ARMSTRONG,44912.0,4382.53,1
ARTHUR BARNES,49484.0,5657.860000000001,2
ARTHUR BARRERA,32113.0,1756.42,1
ARTHUR BENNETT,79880.0,4941.48,2
ARTHUR BLACKWELL,26663.0,3956.93,1
ARTHUR BROWN,56826.0,8074.41,2
ARTHUR BROWNING,16366.0,2430.27,1
ARTHUR CASTRO,34520.0,1814.98,1
ARTHUR CHANDLER,30874.0,1751.48,1
ARTHUR CLARK,28756.0,3761.74,1
ARTHUR CLARKE,36301.0,2729.46,1
ARTHUR CLAYTON,40399.0,2826.43,1
ARTHUR COHEN,29708.0,1673.13,1
ARTHUR COLEMAN,32452.0,3998.35,1
ARTHUR COOK,30648.0,4048.07,1
ARTHUR COOPER,16519.0,2045.97,1
ARTHUR DAVIS,33367.0,2353.72,1
ARTHUR DODSON,11430.0,1241.76,1
ARTHUR ELLIOTT,16633.0,2110.58,1
ARTHUR ELLIS,32331.0,3814.13,1
ARTHUR FERNANDEZ,20462.0,2293.93,1
ARTHUR FORD,31619.0,1967.88,1
ARTHUR FRANKLIN,48245.0,5719.54,1
ARTHUR GARRETT,25530.0,2632.5,1
ARTHUR GIBSON PHD,49126.0,4597.24,1
ARTHUR GLASS,41965.0,2555.15,1
ARTHUR GLOVER,11493.0,1168.31,1
ARTHUR GOMEZ,49550.0,4752.54,1
ARTHUR HALL,21089.0,1485.33,1
ARTHUR HARRIS,67647.0,6244.41,2
ARTHUR HART,39000.0,5205.29,1
ARTHUR HENDERSON,34498.0,2290.72,1
ARTHUR HENSON,40496.0,4073.04,1
ARTHUR HERNANDEZ,27268.0,2253.18,1
ARTHUR HICKS,41996.0,6164.71,1
ARTHUR HOGAN,31604.0,3310.74,1
ARTHUR HOPKINS,74378.0,6058.84,2
ARTHUR HUBBARD,32765.0,1829.61,2
ARTHUR HUFF,23287.0,2089.65,1
ARTHUR HUFFMAN,44436.0,5099.15,1
ARTHUR HURST,24852.0,3622.04,1
ARTHUR JENNINGS,29636.0,2603.09,1
ARTHUR JENSEN,20183.0,1046.73,1
ARTHUR JIMENEZ,11492.0,739.26,1
ARTHUR JOHNSON,108818.0,10063.86,4
ARTHUR JONES,20585.0,1780.56,1
ARTHUR JORDAN,15047.0,1367.21,1
ARTHUR LARSEN,21292.0,2780.55,1
ARTHUR LEE,34577.0,3322.24,1
ARTHUR LEWIS,40463.0,4311.21,1
ARTHUR LIN,12766.0,665.11,1
ARTHUR MARTIN,44991.0,2484.66,1
ARTHUR MARTINEZ,13768.0,1847.81,1
ARTHUR MCDONALD,23751.0,2602.76,1
ARTHUR MCFARLAND,15059.0,2173.46,1
ARTHUR MILLS,15490.0,1726.34,1
ARTHUR MITCHELL,67286.0,9852.76,2
ARTHUR MOODY,79623.0,6886.17,2
ARTHUR MOORE,28485.0,1862.25,1
ARTHUR MORA,49577.0,4590.16,1
ARTHUR MUNOZ,31018.0,3301.67,1
ARTHUR MURILLO,47570.0,3018.77,1
ARTHUR MYERS,15464.0,1652.83,1
ARTHUR NASH,32173.0,4057.58,1
ARTHUR NELSON,71203.0,7492.08,2
ARTHUR NOBLE,20801.0,1469.56,1
ARTHUR NORRIS,28072.0,2840.89,1
ARTHUR ORTIZ,17805.0,1678.84,1
ARTHUR PEARSON,40590.0,5540.41,1
ARTHUR PORTER,44998.0,2741.48,1
ARTHUR PRICE,27691.0,4078.72,1
ARTHUR RANGEL,42460.0,2407.03,1
ARTHUR RHODES,25221.0,3330.44,1
ARTHUR RICE,39228.0,4778.24,1
ARTHUR RUSSELL,30623.0,2036.31,1
ARTHUR SANCHEZ,41889.0,3072.8,1
ARTHUR SHAFFER,28034.0,2117.39,1
ARTHUR SIMPSON,44991.0,2985.18,1
ARTHUR SKINNER,23493.0,2041.2,1
ARTHUR SMITH,41141.0,5402.42,1
ARTHUR THOMPSON,15850.0,1942.35,1
ARTHUR TOWNSEND,20454.0,1963.12,1
ARTHUR TRAVIS DVM,49735.0,4018.93,1
ARTHUR TURNER,23428.0,2366.07,1
ARTHUR TYLER,40022.0,3997.54,1
ARTHUR VARGAS,46807.0,5401.51,1
ARTHUR WALSH,37951.0,3185.1,1
ARTHUR WANG,38491.0,2840.02,1
ARTHUR WARD,24865.0,2660.65,1
ARTHUR WARREN,38776.0,2381.78,2
ARTHUR WASHINGTON,32456.0,2190.02,1
ARTHUR WATTS,38748.0,5679.59,1
ARTHUR WEAVER,42940.0,5385.61,1
ARTHUR WEBER,21429.0,2829.45,1
ARTHUR WHITE,29578.0,1931.04,1
ARTHUR WILLIAMS,47549.0,5055.139999999999,2
ARTHUR WOODS,12664.0,1512.72,1
ARTHUR YORK,33956.0,2913.22,1
ARTHUR ZAVALA,20391.0,1154.96,1
ASHLEE ANDREWS,31472.0,3742.01,1
ASHLEE AVILA,28370.0,2499.69,1
ASHLEE BAKER PHD,49591.0,4458.71,1
ASHLEE BEASLEY,38623.0,3195.06,1
ASHLEE BERRY,12897.0,1802.02,1
ASHLEE BROWN,12695.0,1192.34,1
ASHLEE CARPENTER,36511.0,2040.34,1
ASHLEE CASTRO,34962.0,3426.89,1
ASHLEE CHUNG,47276.0,2611.08,1
ASHLEE COOK,49745.0,3913.73,1
ASHLEE CROSBY,23560.0,2576.67,1
ASHLEE CRUZ,25111.0,2780.45,1
ASHLEE DAVIS,47089.0,4031.02,1
ASHLEE DURAN,19364.0,2896.38,1
ASHLEE ESTRADA,35803.0,5098.85,1
ASHLEE FLYNN,15791.0,2011.58,1
ASHLEE GALVAN,22407.0,2043.38,1
ASHLEE HAAS,20210.0,1105.81,1
ASHLEE HALL,32879.0,2455.31,1
ASHLEE HAYES,13193.0,1468.94,1
ASHLEE HESTER,20182.0,2350.24,1
ASHLEE HILL,41769.0,4495.02,1
ASHLEE HOFFMAN,16745.0,2316.28,1
ASHLEE HOWARD,48869.0,5044.62,1
ASHLEE INGRAM,44892.0,6579.29,1
ASHLEE JENNINGS,45455.0,6483.06,1
ASHLEE JIMENEZ,45319.0,5445.33,1
ASHLEE JOHNSON,32758.0,1875.52,1
ASHLEE KELLY,32067.0,4008.54,1
ASHLEE MANN,33244.0,4759.05,1
ASHLEE MARTIN,15012.0,2093.79,1
ASHLEE MERCADO,47754.0,2575.98,1
ASHLEE MIRANDA,31615.0,3052.63,1
ASHLEE MORRIS,10806.0,1062.37,1
ASHLEE NICHOLS,40164.0,5901.97,1
ASHLEE NOBLE,43231.0,6166.34,1
ASHLEE NORTON,26986.0,1546.27,1
ASHLEE OCHOA,45964.0,5251.52,1
ASHLEE PARKER,30588.0,1980.53,1
ASHLEE PEARSON,32521.0,2175.26,1
ASHLEE PEREZ,76706.0,10143.76,2
ASHLEE PHILLIPS,48486.0,5143.81,1
ASHLEE PORTER,46936.0,6047.67,1
ASHLEE REID,31988.0,3206.31,1
ASHLEE ROBERTS,21216.0,3090.55,1
ASHLEE ROGERS,61386.0,7480.64,2
ASHLEE SIMON,20897.0,2079.08,1
ASHLEE SNYDER,10529.0,894.42,1
ASHLEE STEWART,40075.0,5512.29,1
ASHLEE TORRES,37699.0,4370.43,1
ASHLEE VAUGHN,19261.0,2734.12,1
ASHLEE WAGNER,28059.0,3554.06,1
ASHLEE WALLACE,25767.0,2029.19,1
ASHLEE WU,10139.0,553.22,1
ASHLEY ACOSTA,16852.0,1971.59,1
ASHLEY ADAMS,156950.0,14103.36,6
ASHLEY AGUIRRE,43391.0,4481.86,1
ASHLEY ALEXANDER,158076.0,18242.8,6
ASHLEY ALI,22733.0,2152.43,1
ASHLEY ALLEN,99735.0,11797.75,4
ASHLEY ALVAREZ,39097.0,3103.65,1
ASHLEY ANDERSEN,64202.0,4555.889999999999,2
ASHLEY ANDERSON,152928.0,11238.39,5
ASHLEY ANDRADE,15887.0,1011.39,1
ASHLEY ANTHONY,31014.0,3219.97,1
ASHLEY ARCHER,46384.0,5191.05,1
ASHLEY ARELLANO,21448.0,3045.53,1
ASHLEY ARMSTRONG,10665.0,991.12,1
ASHLEY ARNOLD,63065.0,5771.110000000001,2
ASHLEY AUSTIN,42072.0,5828.89,1
ASHLEY AYALA,34755.0,4986.26,1
ASHLEY BAKER,154257.0,15345.08,5
ASHLEY BANKS,94260.0,7025.639999999999,3
ASHLEY BARKER,43040.0,2649.05,1
ASHLEY BARNES,147177.0,14059.55,4
ASHLEY BARR,37985.0,5077.28,1
ASHLEY BARRETT,11750.0,1545.1,1
ASHLEY BARRY,12881.0,900.33,1
ASHLEY BARTLETT,16984.0,2451.91,1
ASHLEY BASS,16860.0,905.94,1
ASHLEY BEARD,49142.0,7267.14,1
ASHLEY BEASLEY,73427.0,7274.98,2
ASHLEY BECKER,27375.0,2637.13,1
ASHLEY BELL,62542.0,6919.74,2
ASHLEY BELTRAN,35706.0,1795.42,1
ASHLEY BENDER,26159.0,3828.77,1
ASHLEY BENNETT,51179.0,3791.55,2
ASHLEY BERRY,37108.0,3988.07,1
ASHLEY BLACK,63822.0,6139.83,2
ASHLEY BLAIR MD,44475.0,5334.23,1
ASHLEY BOONE,42208.0,3105.19,1
ASHLEY BOWEN,31084.0,2482.06,1
ASHLEY BOWMAN MD,28338.0,2653.49,1
ASHLEY BOYD,58164.0,5527.87,2
ASHLEY BOYLE,33537.0,2933.91,2
ASHLEY BRAY,34350.0,2506.85,1
ASHLEY BRENNAN,10147.0,1305.37,1
ASHLEY BREWER,46939.0,6832.75,1
ASHLEY BRIDGES,46549.0,5730.86,1
ASHLEY BRIGGS,33480.0,4038.71,1
ASHLEY BROOKS,99747.0,9212.93,4
ASHLEY BROWN,433617.0,40873.82,16
ASHLEY BRUCE,18774.0,1833.8,1
ASHLEY BRYANT,90014.0,7904.860000000001,2
ASHLEY BUCK,36375.0,5081.9,1
ASHLEY BUCKLEY,14134.0,962.56,1
ASHLEY BURKE,36987.0,3504.21,1
ASHLEY BURNS,43900.0,2769.17,1
ASHLEY CABRERA,28304.0,1450.36,1
ASHLEY CALDERON,13272.0,1069.91,1
ASHLEY CALDWELL,33076.0,2799.1,1
ASHLEY CALLAHAN,13226.0,753.32,1
ASHLEY CAMERON,10966.0,895.64,1
ASHLEY CAMPBELL,57886.0,6657.37,2
ASHLEY CANTU,87461.0,9753.24,3
ASHLEY CAREY,29553.0,4140.28,1
ASHLEY CARLSON,95777.0,9721.61,3
ASHLEY CARNEY,10112.0,1178.91,1
ASHLEY CARROLL,42956.0,5067.6,2
ASHLEY CARTER,109982.0,10047.32,4
ASHLEY CARTER DDS,40818.0,2804.67,1
ASHLEY CASEY,39956.0,4834.45,1
ASHLEY CASTILLO,54178.0,5986.61,2
ASHLEY CHAN,63724.0,4042.46,2
ASHLEY CHANDLER,39186.0,3111.33,2
ASHLEY CHANEY,25927.0,2293.86,1
ASHLEY CHAPMAN,36195.0,4401.57,1
ASHLEY CHARLES,91400.0,9253.48,3
ASHLEY CHAVEZ,70501.0,7413.69,2
ASHLEY CHEN,13824.0,1160.15,1
ASHLEY CHOI,41774.0,5605.91,1
ASHLEY CHUNG,11210.0,1596.6,1
ASHLEY CHURCH,34626.0,2880.59,1
ASHLEY CISNEROS,82421.0,9252.24,3
ASHLEY CLARK,172603.0,18248.64,5
ASHLEY CLAY,17458.0,1490.59,1
ASHLEY COBB,17263.0,2108.75,1
ASHLEY COFFEY,27939.0,2608.17,1
ASHLEY COLEMAN,74878.0,4427.549999999999,3
ASHLEY COLLIER,11803.0,1097.54,1
ASHLEY COLLINS,68961.0,9668.85,2
ASHLEY COLON,17979.0,1514.97,1
ASHLEY COMPTON,84183.0,8199.39,3
ASHLEY CONLEY,50190.0,4911.21,2
ASHLEY COOLEY,30079.0,1571.44,1
ASHLEY COOPER,35007.0,3697.24,1
ASHLEY COPELAND,16672.0,1524.47,1
ASHLEY CORTEZ,52138.0,5098.41,2
ASHLEY COX,63163.0,6556.64,4
